contract_id,agency,vendor_clean,n_items,n_awards,n_changes,first_item_date,last_item_date,original_approved_usd,later_approved_usd,total_approved_usd,growth_usd,growth_pct,months_to_first_change,in_growth_analysis,exclusion_reason,multi_vendor
E00B4600041,COMP,ibm,1,1,0,2024-07-03,2024-07-03,226207.0,0,226207.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00B5600002,COMP,fairfax imaging,1,1,0,2024-10-02,2024-10-02,215933.0,0,215933.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00B5600005,COMP,tierpoint,1,1,0,2024-09-11,2024-09-11,3257992.0,0,3257992.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00B5600006,COMP,ibm,1,1,0,2024-12-18,2024-12-18,183897.0,0,183897.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00B5600009,COMP,ibm,1,1,0,2025-01-08,2025-01-08,130000.0,0,130000.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E00B5600011,COMP,rocket software,1,1,0,2024-11-20,2024-11-20,820083.0,0,820083.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00B5600024,COMP,baytek,1,1,0,2025-11-05,2025-11-05,521774.0,0,521774.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E00B5600027,COMP,ibm,1,1,0,2025-03-19,2025-03-19,137000.0,0,137000.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E00B5600031,COMP,mathtech,1,1,0,2025-04-23,2025-04-23,979200.0,0,979200.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E00B5600032,COMP,sas institute,1,1,0,2025-05-21,2025-05-21,186419.0,0,186419.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E00B6600001,COMP,fairfax imaging,1,1,0,2025-08-27,2025-08-27,192823.0,0,192823.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E00B6600004,COMP,ibm,1,1,0,2025-11-19,2025-11-19,183897.0,0,183897.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E00B6600010,COMP,recovery point systems,1,1,0,2026-01-28,2026-01-28,1602491.0,0,1602491.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E00B6600012,COMP,mjl software,1,1,0,2026-05-20,2026-05-20,185250.0,0,185250.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E00B6600023,COMP,ibm,1,1,0,2026-05-20,2026-05-20,226207.0,0,226207.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E00B6600028,COMP,sas institute,1,1,0,2026-06-18,2026-06-18,192944.0,0,192944.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E00B6600030,COMP,ibm,1,1,0,2026-06-18,2026-06-18,7030292.0,0,7030292.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E00B6600034,COMP,precisely software,1,1,0,2026-06-18,2026-06-18,1175991.0,0,1175991.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E00B7400021,COMP,ibm,1,0,1,2016-11-16,2016-11-16,,290048.0,290048.0,,,,0,no original award inside the window - only later changes were captured,0
E00B7600002,COMP,navitas business consulting,1,1,0,2026-06-18,2026-06-18,227634.0,0,227634.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E00B8400001,COMP,recovery point systems,1,0,1,2017-07-26,2017-07-26,,25907.0,25907.0,,,,0,no original award inside the window - only later changes were captured,0
E00B8400006,COMP,fairfax imaging,1,0,1,2017-07-26,2017-07-26,,238569.0,238569.0,,,,0,no original award inside the window - only later changes were captured,0
E00B8400026,COMP,ibm,1,0,1,2017-11-01,2017-11-01,,304549.0,304549.0,,,,0,no original award inside the window - only later changes were captured,0
E00B9400001,COMP,recovery point systems,1,0,1,2018-08-22,2018-08-22,,510723.0,510723.0,,,,0,no original award inside the window - only later changes were captured,0
E00B9400007,COMP,fairfax imaging,1,0,1,2018-10-03,2018-10-03,,238569.0,238569.0,,,,0,no original award inside the window - only later changes were captured,0
E00B9400013,COMP,mathtech,1,0,1,2018-09-05,2018-09-05,,264360.0,264360.0,,,,0,no original award inside the window - only later changes were captured,0
E00B9400043,COMP,teradata government systems,1,0,1,2019-03-20,2019-03-20,,4137697.0,4137697.0,,,,0,no original award inside the window - only later changes were captured,0
E00P3600368,COMP,ibm,1,1,0,2023-06-21,2023-06-21,226207.0,0,226207.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
E00P4600009,COMP,applied technology services,1,1,0,2023-07-19,2023-07-19,408918.0,0,408918.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
E00P4600086,COMP,cas severn,1,1,0,2023-10-04,2023-10-04,359955.96,0,359955.96,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
